squad,League
AlavÇs,La Liga
Athletic Bilbao,La Liga
AtlÇtico Madrid,La Liga
Barcelona,La Liga
Celta Vigo,La Liga
Eibar,La Liga
Espanyol,La Liga
Getafe,La Liga
Granada,La Liga
LeganÇs,La Liga
Levante,La Liga
Mallorca,La Liga
Osasuna,La Liga
Real Betis,La Liga
Real Madrid,La Liga
Real Sociedad,La Liga
Sevilla,La Liga
Valencia,La Liga
Valladolid,La Liga
Villarreal,La Liga
Arsenal,Premier League
Aston Villa,Premier League
Bournemouth,Premier League
Brighton & Hove Albion,Premier League
Burnley,Premier League
Chelsea,Premier League
Crystal Palace,Premier League
Everton,Premier League
Leicester City,Premier League
Liverpool,Premier League
Manchester City,Premier League
Manchester United,Premier League
Newcastle United,Premier League
Norwich City,Premier League
Sheffield United,Premier League
Southampton,Premier League
Tottenham Hotspur,Premier League
Watford,Premier League
West Ham United,Premier League
Wolverhampton Wanderers,Premier League
Amiens,Ligue 1
Angers,Ligue 1
Bordeaux,Ligue 1
Brest,Ligue 1
Dijon,Ligue 1
Lille,Ligue 1
Lyon,Ligue 1
Marseille,Ligue 1
Metz,Ligue 1
Monaco,Ligue 1
Montpellier,Ligue 1
Nantes,Ligue 1
Nice,Ligue 1
Nåmes,Ligue 1
Paris Saint-Germain,Ligue 1
Reims,Ligue 1
Rennes,Ligue 1
Saint-êtienne,Ligue 1
Strasbourg,Ligue 1
Toulouse,Ligue 1
FC Augsburg,Bundesliga
Hertha BSC,Bundesliga
Union Berlin,Bundesliga
Werder Bremen,Bundesliga
Borussia Dortmund,Bundesliga
Fortuna DÅsseldorf,Bundesliga
Eintracht Frankfurt,Bundesliga
SC Freiburg,Bundesliga
1899 Hoffenheim,Bundesliga
1. FC Kîln,Bundesliga
RB Leipzig,Bundesliga
Bayer Leverkusen,Bundesliga
Mainz 05,Bundesliga
Borussia Mînchengladbach,Bundesliga
Bayern Munich,Bundesliga
SC Paderborn,Bundesliga
Schalke 04,Bundesliga
VfL Wolfsburg,Bundesliga
Atalanta,Serie A
Bologna,Serie A
Brescia,Serie A
Cagliari,Serie A
Fiorentina,Serie A
Genoa,Serie A
Hellas Verona,Serie A
Internazionale,Serie A
Juventus,Serie A
Lazio,Serie A
Lecce,Serie A
Milan,Serie A
Napoli,Serie A
Parma,Serie A
Roma,Serie A
Sampdoria,Serie A
Sassuolo,Serie A
SPAL,Serie A
Torino,Serie A
Udinese,Serie A
